Session Associated Time;Session Duration;Client MAC Address;Host Name;Device;OS Type;Upstream Transferred (Bytes);Downstream Transferred (Bytes);Connected AP Name
18/10/2016 21:31;34 804,00;40:b3:95:55:32:95;vince;Apple;iOS;220,00;254,00;SALON-4D_AP2
18/10/2016 15:34;25 830,00;98:f0:ab:4c:d5:3f;iPhone;Apple;iOS;5 584,00;13 679,00;MEDIAS-CONF_AP1
18/10/2016 21:37;38 362,00;d0:22:be:6f:82:2d;android-b3b1ed748e66958e;Samsung;Android;900,00;862,00;SALON-6C_AP1
18/10/2016 19:12;16 062,00;60:a3:7d:c6:73:51;iPhone;Unknown;iOS;1 364,00;2 913,00;LOGES-5CD_AP2
18/10/2016 20:32;138 876,00;34:a3:95:a4:d1:1f;iPhone;Apple;iOS;220,00;353,00;LOGES-3CD_AP4
18/10/2016 18:08;48 485,00;30:f7:c5:24:bc:2c;Charles-Eric;Apple;iOS;332,00;346,00;LOGES-3CD_AP2
18/10/2016 18:37;183 125,00;80:be:05:5c:af:a9;Unknown;Apple;iOS;25 026,00;186 303,00;LOGES-5CD_AP2
18/10/2016 17:09;474 497,00;b0:47:bf:20:c5:ba;Unknown;Samsung;Android;7 043,00;14 256,00;LOGES-4CD_AP4
18/10/2016 18:56;119 832,00;c0:63:94:3c:e8:3a;iPhonedemelodie;Apple;iOS;360,00;300,00;SALON-2C_AP2
18/10/2016 20:57;5 173,00;e4:9a:79:c9:4a:f5;iPhone-de-Julia;Unknown;iOS;998,00;847,00;SALON-2C_AP3
18/10/2016 16:15;120 571,00;00:6d:52:35:e4:aa;iPhone;Apple;iOS;220,00;10 441,00;SALON-5D_AP2
18/10/2016 21:52;5 008,00;d0:53:49:b9:18:32;POPB-283;Liteon Technology Co., Ltd.;Windows 7/Vista;605,00;495,00;LOGES-5CD_AP3
18/10/2016 18:01;20 137,00;4c:66:41:03:94:32;Unknown;Unknown;Android;10 258,00;4 354,00;LOGES-3CD_AP6
18/10/2016 18:55;17 604,00;60:a3:7d:c7:7a:48;iPhonedcendlak2;Unknown;iOS;220,00;254,00;COULOIR-3CD_AP
18/10/2016 21:31;32 880,00;34:a3:95:a4:d1:1f;iPhone;Apple;iOS;32 798,00;264 295,00;SALON-1D_AP1
18/10/2016 21:27;9 331,00;1c:91:48:4c:9d:03;Unknown;Unknown;iOS;63 643,00;942 687,00;LOGES-5CD_AP2
18/10/2016 20:23;74 353,00;78:31:c1:16:e6:db;Unknown;Apple;iOS;220,00;254,00;LOGES-5CD_AP1
18/10/2016 14:27;346 217,00;bc:54:36:30:3c:f1;iPhone;Unknown;iOS;73 910,00;265 263,00;SALON-2C_AP3
18/10/2016 17:52;127 926,00;58:7f:57:05:e4:9b;Unknown;Apple;iOS;10 451,00;19 257,00;LOGES-2D_AP
18/10/2016 19:21;16 467,00;18:f6:43:91:ae:67;Unknown;Apple;iOS;7 135,00;5 102,00;LOGES-5CD_AP1
18/10/2016 19:01;398 064,00;34:14:5f:c0:d5:bd;android-ec07947b6598c3a9;Unknown;Android;43 127,00;98 042,00;SALON-2C_AP2
18/10/2016 18:58;86 220,00;d8:bb:2c:6c:55:0c;iPhone-Theo;Apple;iOS;460,00;346,00;SALON-2C_AP3
18/10/2016 13:04;10 313,00;74:1b:b2:62:46:ab;iPhonedAnneDodo;Apple;iOS;220,00;254,00;LOGES 2C_AP
18/10/2016 17:43;5 000,00;d0:53:49:b9:18:32;POPB-283;Liteon Technology Co., Ltd.;Windows 7/Vista;605,00;495,00;LOGES-5CD_AP3
18/10/2016 19:14;4 653,00;a0:99:9b:a1:c5:09;iPhonedPastural;Apple;iOS;384,00;300,00;SALON-5D_AP2
18/10/2016 18:34;41 703,00;6c:8d:c1:bd:29:f2;iPhonedFabrice2;Unknown;iOS;220,00;254,00;PORTE-35_AP1
18/10/2016 18:32;6 715,00;4c:66:41:03:94:32;Unknown;Unknown;Android;5 266,00;1 571,00;LOGES-3CD_AP3
18/10/2016 19:03;12 524,00;64:9a:be:19:d3:95;Unknown;Apple;iOS;2 049,00;2 077,00;COULOIR-4CD_AP2
18/10/2016 19:05;531 073,00;b8:53:ac:48:b2:db;Unknown;Unknown;iOS;6 568 179,00;8 089 031,00;LOGES-5CD_AP3
18/10/2016 18:29;35 623,00;5c:ad:cf:01:a2:7a;ElsaBatFauchois;Apple;iOS;220,00;1 296,00;SALON-2C_AP3
18/10/2016 19:21;278 537,00;60:a3:7d:c6:73:51;iPhone;Unknown;iOS;5 196,00;15 000,00;SALON-1D_AP1
18/10/2016 10:41;128 647,00;34:14:5f:ec:09:9b;Unknown;Unknown;Android;20 050,00;52 423,00;SALON-1D_AP1
18/10/2016 20:01;39 758,00;bc:54:36:30:3c:f1;iPhone;Unknown;iOS;16 725,00;201 971,00;SALON-1D_AP4
18/10/2016 14:17;101 331,00;d0:33:11:45:90:c1;iPhone;Apple;iOS;38 031,00;249 327,00;LOGES-3CD_AP6
18/10/2016 18:51;6 625,00;cc:25:ef:b6:b6:88;iPhonedeRobert;Apple;iOS;7 468,00;14 991,00;COULOIR-3CD_AP
18/10/2016 15:29;201 828,00;10:30:47:e1:31:37;android-b4748a8280d91b1f;Samsung;Android;21 625,00;50 532,00;SALON-5D_AP2
18/10/2016 19:59;381 506,00;60:f1:89:49:3c:22;Samsung-Galaxy-S7-edge;Murata;Android;11 381,00;38 674,00;LOGES-5CD_AP1
18/10/2016 15:02;319 503,00;f0:99:bf:37:cc:5e;iPhonedlexandre;Apple;iOS;13 933,00;34 485,00;SALON-2C_AP3
18/10/2016 16:50;341 046,00;b8:53:ac:08:42:bc;iPhone-107;Unknown;iOS;1 422 855,00;37 787 302,00;LOGES-3CD_AP1
18/10/2016 18:17;265 294,00;34:a3:95:a4:d1:1f;iPhone;Apple;iOS;11 508,00;16 225,00;COULOIR-4CD_AP2
18/10/2016 15:20;70 200,00;e4:98:d1:f9:d6:ce;Windows-Phone;Microsoft Mobile Oy;Windows (Mobile) 8 / Windows (Mobile) 10;22 482,00;43 060,00;LOGES-3CD_AP1
18/10/2016 20:30;80 571,00;4c:66:41:03:94:32;Unknown;Unknown;Android;10 964,00;28 941,00;LOGES-3CD_AP5
18/10/2016 10:41;4 920,00;78:7e:61:b2:31:dc;iPhonedfrancois;Apple;iOS;14 031,00;33 435,00;SALON-1D_AP4
18/10/2016 16:13;113 999,00;ec:9b:f3:8e:86:d6;Unknown;Samsung;Android;67 230,00;61 544,00;SALON-2C_AP1
18/10/2016 20:04;14 027,00;cc:25:ef:b6:b6:88;iPhonedeRobert;Apple;iOS;892,00;1 107,00;COULOIR-4CD_AP1
18/10/2016 18:59;232 783,00;d0:33:11:42:6c:83;iPhone-R1;Apple;iOS;668,00;666,00;SALON-1D_AP2
18/10/2016 16:13;144 849,00;40:b8:37:d2:aa:0b;android-a3e6d76c4c409ab3;Sony Mobile Communications AB;Android;740,00;254,00;COULOIR-4CD_AP1
18/10/2016 21:19;9 577,00;4c:66:41:03:94:32;Unknown;Unknown;Android;3 813,00;3 430,00;COULOIR-3CD_AP
18/10/2016 17:38;12 209,00;30:f7:c5:24:bc:2c;Charles-Eric;Apple;iOS;220,00;254,00;SALON-1D_AP1
18/10/2016 20:58;99 098,00;cc:25:ef:b6:b6:88;iPhonedeRobert;Apple;iOS;220,00;254,00;SALON-5D_AP2
18/10/2016 21:56;59 868,00;60:a3:7d:74:ca:b2;iPhonedeAntoine;Unknown;iOS;332,00;346,00;SALON-1D_AP1
18/10/2016 13:41;226 351,00;d4:8f:33:62:d6:80;Unknown;Microsoft Corporation;Windows (Mobile) 8 / Windows (Mobile) 10;4 522,00;9 974,00;LOGES-5CD_AP3
18/10/2016 12:55;10 961,00;58:7f:57:91:58:69;iPhone-de-julie;Apple;iOS;8 604,00;21 031,00;LOGES 2C_AP
18/10/2016 20:30;248 837,00;d8:96:95:27:a1:d9;Unknown;Apple;iOS;1 302,00;1 320,00;SALON-1D_AP4
18/10/2016 17:47;10 711,00;64:9a:be:87:8a:22;Unknown;Apple;iOS;1 077,00;1 091,00;COULOIR-4CD_AP2
18/10/2016 17:19;551 774,00;18:f6:43:5a:27:0f;iPhone-de-Lolo;Apple;iOS;79 994,00;175 062,00;PORTE-35_AP1
18/10/2016 16:37;37 537,00;30:f7:c5:24:bc:2c;Charles-Eric;Apple;iOS;220,00;254,00;LOGES-5CD_AP3
18/10/2016 19:07;237 269,00;a0:99:9b:a1:c5:09;iPhonedPastural;Apple;iOS;28 555,00;26 744,00;LOGES-5CD_AP3
18/10/2016 18:28;246 429,00;f0:99:bf:37:cc:5e;iPhonedlexandre;Apple;iOS;3 749,00;11 713,00;LOGES-5CD_AP1
18/10/2016 21:05;6 313,00;68:db:ca:bd:f8:d2;iPhone-de-Dany;Unknown;iOS;18 445,00;179 388,00;LOGES-3CD_AP4
18/10/2016 18:46;61 374,00;c4:b3:01:28:ec:14;iPhonedeMOUNIA;Unknown;iOS;220,00;254,00;SALON-4D_AP1
18/10/2016 17:24;29 809,00;4c:66:41:03:94:32;Unknown;Unknown;Android;6 657,00;6 816,00;LOGES-3CD_AP3
18/10/2016 20:28;158 963,00;ac:5f:3e:29:4e:3a;Samsung-Galaxy-S7;Unknown;Android;59 161,00;146 291,00;SALON-3C_AP1
18/10/2016 16:12;27 552,00;30:f7:c5:24:bc:2c;Charles-Eric;Apple;iOS;3 250,00;6 240,00;PORTE-35_AP1
18/10/2016 17:57;84 123,00;d0:22:be:6f:82:2d;android-b3b1ed748e66958e;Samsung;Android;2 623,00;8 245,00;COULOIR-4CD_AP1
18/10/2016 14:00;49 122,00;bc:54:36:30:3c:f1;iPhone;Unknown;iOS;39 703,00;883 287,00;SALON-1D_AP4
18/10/2016 20:22;131 656,00;d0:33:11:42:6c:83;iPhone-R1;Apple;iOS;276,00;4 576,00;LOGES-5CD_AP2
18/10/2016 19:09;6 009,00;f0:99:bf:2d:24:d5;Unknown;Apple;iOS;605,00;594,00;COULOIR-4CD_AP2
18/10/2016 17:05;5 007,00;b0:9f:ba:c8:aa:11;iPhone;Apple;iOS;220,00;254,00;SALON-1D_AP1
18/10/2016 16:51;4 809,00;4c:66:41:03:94:32;Unknown;Unknown;Android;3 373,00;806,00;LOGES-3CD_AP1
